Date,Adj Close,Close,High,Low,Open,Volume
2025-09-15,29.559999465942383,29.559999465942383,29.799999237060547,27.75,28.09000015258789,8128900
2025-09-16,28.93000030517578,28.93000030517578,29.700000762939453,27.299999237060547,29.700000762939453,6601900
2025-09-17,29.469999313354492,29.469999313354492,30.049999237060547,28.229999542236328,28.40999984741211,5373200
2025-09-18,29.040000915527344,29.040000915527344,30.415000915527344,28.437000274658203,30.3700008392334,4777100
2025-09-19,28.989999771118164,28.989999771118164,29.8799991607666,28.520000457763672,28.700000762939453,4323400
2025-09-22,30.540000915527344,30.540000915527344,30.799999237060547,27.799999237060547,28.200000762939453,4741800
2025-09-23,28.059999465942383,28.059999465942383,31.1299991607666,27.6200008392334,30.5,6163000
2025-09-24,26.690000534057617,26.690000534057617,28.459999084472656,26.5,27.96500015258789,4705000
2025-09-25,26.34000015258789,26.34000015258789,26.645000457763672,24.790000915527344,25.739999771118164,4339300
2025-09-26,25.770000457763672,25.770000457763672,26.440000534057617,25.450000762939453,26.299999237060547,2730700
2025-09-29,25.940000534057617,25.940000534057617,26.5,25.709999084472656,26.299999237060547,3107400
2025-09-30,25.93000030517578,25.93000030517578,26.799999237060547,25.1299991607666,25.799999237060547,3543000
2025-10-01,28.420000076293945,28.420000076293945,28.450000762939453,25.25,25.299999237060547,3735900
2025-10-02,27.979999542236328,27.979999542236328,29.381000518798828,27.84000015258789,28.959999084472656,3673700
2025-10-03,27.93000030517578,27.93000030517578,28.790000915527344,26.871000289916992,28.049999237060547,3937600
2025-10-06,33.790000915527344,33.790000915527344,34.472999572753906,28.399999618530273,29.100000381469727,10810300
2025-10-07,31.334999084472656,31.334999084472656,34.619998931884766,29.764999389648438,33.654998779296875,7945800
2025-10-08,32.220001220703125,32.220001220703125,32.45000076293945,30.860000610351562,31.729999542236328,3170400
2025-10-09,32.369998931884766,32.369998931884766,34.099998474121094,31.1200008392334,32.439998626708984,5021900
2025-10-10,27.149999618530273,27.149999618530273,35.20000076293945,27.1200008392334,33.15999984741211,8797000
2025-10-13,29.100000381469727,29.100000381469727,29.420000076293945,27.50200080871582,28.5,4528300
2025-10-14,28.479999542236328,28.479999542236328,29.34000015258789,26.66200065612793,27.799999237060547,4114300
2025-10-15,32.95000076293945,32.95000076293945,33.029998779296875,29.177000045776367,30.0,6786300
2025-10-16,31.139999389648438,31.139999389648438,33.2599983215332,30.93000030517578,32.95000076293945,3988700
2025-10-17,31.920000076293945,31.920000076293945,32.47999954223633,28.8700008392334,30.510000228881836,4668700
2025-10-20,34.13999938964844,34.13999938964844,35.849998474121094,32.599998474121094,32.88999938964844,6475300
2025-10-21,33.400001525878906,33.400001525878906,35.31999969482422,32.709999084472656,34.0099983215332,4134300
2025-10-22,29.975000381469727,29.975000381469727,32.85200119018555,28.850000381469727,32.36000061035156,5269000
2025-10-23,31.399999618530273,31.399999618530273,32.08000183105469,29.850000381469727,29.899999618530273,3943200
2025-10-24,34.0099983215332,34.0099983215332,34.39099884033203,31.5,32.130001068115234,4461800
2025-10-27,37.220001220703125,37.220001220703125,37.676998138427734,34.380001068115234,35.0,5328400
2025-10-28,36.869998931884766,36.869998931884766,37.61000061035156,35.0099983215332,36.790000915527344,5313000
2025-10-29,35.47999954223633,35.47999954223633,38.9900016784668,34.75,37.33000183105469,7001400
2025-10-30,35.06999969482422,35.06999969482422,36.29999923706055,34.099998474121094,34.4900016784668,3590400
2025-10-31,35.560001373291016,35.560001373291016,36.47700119018555,34.18000030517578,35.70000076293945,3960400
2025-11-03,33.040000915527344,33.040000915527344,37.0,32.83000183105469,36.13999938964844,4695100
2025-11-04,29.5,29.5,31.610000610351562,28.200000762939453,31.0,7716600
2025-11-05,31.510000228881836,31.510000228881836,32.20000076293945,29.799999237060547,30.739999771118164,4930500
